id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,class,percentmale,percentfemale,preevolution,egggroup1,egggroup2
145,145,Zapdos,Zapdos,Electric,Flying,Pressure,,Static,90,90,85,125,90,100,580,116.0 lbs.,"5'03""",Electric Pokemon,,,,Undiscovered,
146,146,Moltres,Moltres,Fire,Flying,Pressure,,Flame Body,90,100,90,125,85,90,580,132.3 lbs.,"6'07""",Flame Pokemon,,,,Undiscovered,
147,147,Dratini,Dratini,Dragon,,Shed Skin,,Marvel Scale,41,64,45,50,50,50,300,7.3 lbs.,"5'11""",Dragon Pokemon,0.5,0.5,,Water 1,Dragon
148,148,Dragonair,Dragonair,Dragon,,Shed Skin,,Marvel Scale,61,84,65,70,70,70,420,36.4 lbs.,"13'01""",Dragon Pokemon,0.5,0.5,Dratini,Water 1,Dragon
149,149,Dragonite,Dragonite,Dragon,Flying,Inner Focus,,Multiscale,91,134,95,100,100,80,600,463.0 lbs.,"7'03""",Dragon Pokemon,1,0,Dragonair,Water 1,Dragon
150,150,Mewtwo,Mewtwo,Psychic,,Pressure,,Unnerve,106,110,90,154,90,130,680,269.0 lbs.,"6'07""",Genetic Pokemon,,,,Undiscovered,
151,151,Mew,Mew,Psychic,,Synchronize,,,100,100,100,100,100,100,600,8.8 lbs.,"1'04""",New Species Pokemon,,,,Undiscovered,
152,152,Chikorita,Chikorita,Grass,,Overgrow,,Leaf Guard,45,49,65,49,65,45,318,14.1 lbs.,"2'11""",Leaf Pokemon,0.875,0.125,,Monster,Grass
153,153,Bayleef,Bayleef,Grass,,Overgrow,,Leaf Guard,60,62,80,63,80,60,405,34.8 lbs.,"3'11""",Leaf Pokemon,0.875,0.125,Chikorita,Monster,Grass
154,154,Meganium,Meganium,Grass,,Overgrow,,Leaf Guard,80,82,100,83,100,80,525,221.6 lbs.,"5'11""",Herb Pokemon,0.875,0.125,Bayleef,Monster,Grass
155,155,Cyndaquil,Cyndaquil,Fire,,Blaze,,Flash Fire,39,52,43,60,50,65,309,17.4 lbs.,"1'08""",Fire Mouse Pokemon,0.875,0.125,,Field,
156,156,Quilava,Quilava,Fire,,Blaze,,Flash Fire,58,64,58,80,65,80,405,41.9 lbs.,"2'11""",Volcano Pokemon,0.875,0.125,Cyndaquil,Field,
157,157,Typhlosion,Typhlosion,Fire,,Blaze,,Flash Fire,78,84,78,109,85,100,534,175.3 lbs.,"5'07""",Volcano Pokemon,0.875,0.125,Quilava,Field,
158,158,Totodile,Totodile,Water,,Torrent,,Sheer Force,50,65,64,44,48,43,314,20.9 lbs.,"2'00""",Big Jaw Pokemon,0.875,0.125,,Monster,Water 1
159,159,Croconaw,Croconaw,Water,,Torrent,,Sheer Force,65,80,80,59,63,58,405,55.1 lbs.,"3'07""",Big Jaw Pokemon,0.875,0.125,Totodile,Monster,Water 1
160,160,Feraligatr,Feraligatr,Water,,Torrent,,Sheer Force,85,105,100,79,83,78,530,195.8 lbs.,"7'07""",Big Jaw Pokemon,0.875,0.125,Croconaw,Monster,Water 1
161,161,Sentret,Sentret,Normal,,Run Away,Keen Eye,Frisk,35,46,34,35,45,20,215,13.2 lbs.,"2'07""",Scout Pokemon,0.5,0.5,,Field,
162,162,Furret,Furret,Normal,,Run Away,Keen Eye,Frisk,85,76,64,45,55,90,415,71.6 lbs.,"5'11""",Long Body Pokemon,0.5,0.5,Sentret,Field,
163,163,Hoothoot,Hoothoot,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,60,30,30,36,56,50,262,46.7 lbs.,"2'04""",Owl Pokemon,0.5,0.5,,Flying,
164,164,Noctowl,Noctowl,Normal,Flying,Insomnia,Keen Eye,Tinted Lens,100,50,50,86,96,70,452,89.9 lbs.,"5'03""",Owl Pokemon,0.5,0.5,Hoothoot,Flying,
165,165,Ledyba,Ledyba,Bug,Flying,Swarm,Early Bird,Rattled,40,20,30,40,80,55,265,23.8 lbs.,"3'03""",Five Star Pokemon,0.5,0.5,,Bug,
166,166,Ledian,Ledian,Bug,Flying,Swarm,Early Bird,Iron Fist,55,35,50,55,110,85,390,78.5 lbs.,"4'07""",Five Star Pokemon,0.5,0.5,Ledyba,Bug,
167,167,Spinarak,Spinarak,Bug,Poison,Swarm,Insomnia,Sniper,40,60,40,40,40,30,250,18.7 lbs.,"1'08""",String Spit Pokemon,0.5,0.5,,Bug,
168,168,Ariados,Ariados,Bug,Poison,Swarm,Insomnia,Sniper,70,90,70,60,70,40,400,73.9 lbs.,"3'07""",Long Leg Pokemon,0.5,0.5,Spinarak,Bug,
169,169,Crobat,Crobat,Poison,Flying,Inner Focus,,Infiltrator,85,90,80,70,80,130,535,165.3 lbs.,"5'11""",Bat Pokemon,0.5,0.5,Golbat,Flying,
170,170,Chinchou,Chinchou,Water,Electric,Volt Absorb,Illuminate,Water Absorb,75,38,38,56,56,67,330,26.5 lbs.,"1'08""",Angler Pokemon,0.5,0.5,,Water 2,
171,171,Lanturn,Lanturn,Water,Electric,Volt Absorb,Illuminate,Water Absorb,125,58,58,76,76,67,460,49.6 lbs.,"3'11""",Light Pokemon,0.5,0.5,Chinchou,Water 2,
172,172,Pichu,Pichu,Electric,,Static,,Lightning Rod,20,40,15,35,35,60,205,4.4 lbs.,"1'00""",Tiny Mouse Pokemon,0.5,0.5,,Undiscovered,
173,173,Cleffa,Cleffa,Fairy,,Cute Charm,Magic Guard,Friend Guard,50,25,28,45,55,15,218,6.6 lbs.,"1'00""",Star Shape Pokemon,0.25,0.75,,Undiscovered,
174,174,Igglybuff,Igglybuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,90,30,15,40,20,15,210,2.2 lbs.,"1'00""",Balloon Pokemon,0.25,0.75,,Undiscovered,
175,175,Togepi,Togepi,Fairy,,Hustle,Serene Grace,Super Luck,35,20,65,40,65,20,245,3.3 lbs.,"1'00""",Spike Ball Pokemon,0.875,0.125,,Undiscovered,
176,176,Togetic,Togetic,Fairy,Flying,Hustle,Serene Grace,Super Luck,55,40,85,80,105,40,405,7.1 lbs.,"2'00""",Happiness Pokemon,0.875,0.125,Togepi,Flying,Fairy
177,177,Natu,Natu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,40,50,45,70,45,70,320,4.4 lbs.,"0'08""",Tiny Bird Pokemon,0.5,0.5,,Flying,
178,178,Xatu,Xatu,Psychic,Flying,Synchronize,Early Bird,Magic Bounce,65,75,70,95,70,95,470,33.1 lbs.,"4'11""",Mystic Pokemon,0.5,0.5,Natu,Flying,
179,179,Mareep,Mareep,Electric,,Static,,Plus,55,40,40,65,45,35,280,17.2 lbs.,"2'00""",Wool Pokemon,0.5,0.5,,Monster,Field
180,180,Flaaffy,Flaaffy,Electric,,Static,,Plus,70,55,55,80,60,45,365,29.3 lbs.,"2'07""",Wool Pokemon,0.5,0.5,Mareep,Monster,Field
181,181,Ampharos,Ampharos,Electric,,Static,,Plus,90,75,85,115,90,55,510,135.6 lbs.,"4'07""",Light Pokemon,0.5,0.5,Flaaffy,Monster,Field
182,182,Bellossom,Bellossom,Grass,,Chlorophyll,,Healer,75,80,95,90,100,50,490,12.8 lbs.,"1'04""",Flower Pokemon,0.5,0.5,Gloom,Grass,
183,183,Marill,Marill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,70,20,50,20,50,40,250,18.7 lbs.,"1'04""",Aqua Mouse Pokemon,0.5,0.5,Azurill,Water 1,Fairy
184,184,Azumarill,Azumarill,Water,Fairy,Thick Fat,Huge Power,Sap Sipper,100,50,80,60,80,50,420,62.8 lbs.,"2'07""",Aqua Rabbit Pokemon,0.5,0.5,Marill,Water 1,Fairy
185,185,Sudowoodo,Sudowoodo,Rock,,Sturdy,Rock Head,Rattled,70,100,115,30,65,30,410,83.8 lbs.,"3'11""",Imitation Pokemon,0.5,0.5,Bonsly,Mineral,
186,186,Politoed,Politoed,Water,,Water Absorb,Damp,Drizzle,90,75,75,90,100,70,500,74.7 lbs.,"3'07""",Frog Pokemon,0.5,0.5,Poliwhirl,Water 1,
187,187,Hoppip,Hoppip,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,35,35,40,35,55,50,250,1.1 lbs.,"1'04""",Cottonweed Pokemon,0.5,0.5,,Fairy,Grass
188,188,Skiploom,Skiploom,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,55,45,50,45,65,80,340,2.2 lbs.,"2'00""",Cottonweed Pokemon,0.5,0.5,Hoppip,Fairy,Grass
189,189,Jumpluff,Jumpluff,Grass,Flying,Chlorophyll,Leaf Guard,Infiltrator,75,55,70,55,95,110,460,6.6 lbs.,"2'07""",Cottonweed Pokemon,0.5,0.5,Skiploom,Fairy,Grass
190,190,Aipom,Aipom,Normal,,Run Away,Pickup,Skill Link,55,70,55,40,55,85,360,25.4 lbs.,"2'07""",Long Tail Pokemon,0.5,0.5,,Field,
191,191,Sunkern,Sunkern,Grass,,Chlorophyll,Solar Power,Early Bird,30,30,30,30,30,30,180,4.0 lbs.,"1'00""",Seed Pokemon,0.5,0.5,,Grass,
192,192,Sunflora,Sunflora,Grass,,Chlorophyll,Solar Power,Early Bird,75,75,55,105,85,30,425,18.7 lbs.,"2'07""",Sun Pokemon,0.5,0.5,Sunkern,Grass,
193,193,Yanma,Yanma,Bug,Flying,Speed Boost,Compound Eyes,Frisk,65,65,45,75,45,95,390,83.8 lbs.,"3'11""",Clear Wing Pokemon,0.5,0.5,,Bug,
194,194,Wooper,Wooper,Water,Ground,Damp,Water Absorb,Unaware,55,45,45,25,25,15,210,18.7 lbs.,"1'04""",Water Fish Pokemon,0.5,0.5,,Water 1,Field
195,195,Quagsire,Quagsire,Water,Ground,Damp,Water Absorb,Unaware,95,85,85,65,65,35,430,165.3 lbs.,"4'07""",Water Fish Pokemon,0.5,0.5,Wooper,Water 1,Field
196,196,Espeon,Espeon,Psychic,,Synchronize,,Magic Bounce,65,65,60,130,95,110,525,58.4 lbs.,"2'11""",Sun Pokemon,0.875,0.125,Eevee,Field,
197,197,Umbreon,Umbreon,Dark,,Synchronize,,Inner Focus,95,65,110,60,130,65,525,59.5 lbs.,"3'03""",Moonlight Pokemon,0.875,0.125,Eevee,Field,
198,198,Murkrow,Murkrow,Dark,Flying,Insomnia,Super Luck,Prankster,60,85,42,85,42,91,405,4.6 lbs.,"1'08""",Darkness Pokemon,0.5,0.5,,Flying,
199,199,Slowking,Slowking,Water,Psychic,Oblivious,Own Tempo,Regenerator,95,75,80,100,110,30,490,175.3 lbs.,"6'07""",Royal Pokemon,0.5,0.5,Slowpoke,Monster,Water 1
200,200,Misdreavus,Misdreavus,Ghost,,Levitate,,,60,60,60,85,85,85,435,2.2 lbs.,"2'04""",Screech Pokemon,0.5,0.5,,Amorphous,
201,201,Unown,Unown,Psychic,,Levitate,,,48,72,48,72,48,48,336,11.0 lbs.,"1'08""",Symbol Pokemon,,,Misdreavus,Undiscovered,
202,202,Wobbuffet,Wobbuffet,Psychic,,Shadow Tag,,Telepathy,190,33,58,33,58,33,405,62.8 lbs.,"4'03""",Patient Pokemon,0.5,0.5,Wynaut,Amorphous,
203,203,Girafarig,Girafarig,Normal,Psychic,Inner Focus,Early Bird,Sap Sipper,70,80,65,90,65,85,455,91.5 lbs.,"4'11""",Long Neck Pokemon,0.5,0.5,,Field,
204,204,Pineco,Pineco,Bug,,Sturdy,,Overcoat,50,65,90,35,35,15,290,15.9 lbs.,"2'00""",Bagworm Pokemon,0.5,0.5,,Bug,
205,205,Forretress,Forretress,Bug,Steel,Sturdy,,Overcoat,75,90,140,60,60,40,465,277.3 lbs.,"3'11""",Bagworm Pokemon,0.5,0.5,Pineco,Bug,
206,206,Dunsparce,Dunsparce,Normal,,Serene Grace,Run Away,Rattled,100,70,70,65,65,45,415,30.9 lbs.,"4'11""",Land Snake Pokemon,0.5,0.5,,Field,
207,207,Gligar,Gligar,Ground,Flying,Hyper Cutter,Sand Veil,Immunity,65,75,105,35,65,85,430,142.9 lbs.,"3'07""",Fly Scorpion Pokemon,0.5,0.5,,Bug,
208,208,Steelix,Steelix,Steel,Ground,Rock Head,Sturdy,Sheer Force,75,85,200,55,65,30,510,881.8 lbs.,"30'02""",Iron Snake Pokemon,0.5,0.5,Onix,Mineral,
209,209,Snubbull,Snubbull,Fairy,,Intimidate,Run Away,Rattled,60,80,50,40,40,30,300,17.2 lbs.,"2'00""",Fairy Pokemon,0.5,0.5,,Field,Fairy
210,210,Granbull,Granbull,Fairy,,Intimidate,Quick Feet,Rattled,90,120,75,60,60,45,450,107.4 lbs.,"4'07""",Fairy Pokemon,0.5,0.5,Snubbull,Field,Fairy
211,211,Qwilfish,Qwilfish,Water,Poison,Poison Point,Swift Swim,Intimidate,65,95,85,55,55,85,440,8.6 lbs.,"1'08""",Balloon Pokemon,0.5,0.5,,Water 2,
212,212,Scizor,Scizor,Bug,Steel,Swarm,Technician,Light Metal,70,130,100,55,80,65,500,260.1 lbs.,"5'11""",Pincer Pokemon,0.5,0.5,Scyther,Bug,
213,213,Shuckle,Shuckle,Bug,Rock,Sturdy,Gluttony,Contrary,20,10,230,10,230,5,505,45.2 lbs.,"2'00""",Mold Pokemon,0.5,0.5,,Bug,
214,214,Heracross,Heracross,Bug,Fighting,Swarm,Guts,Moxie,80,125,75,40,95,85,500,119.0 lbs.,"4'11""",Single Horn Pokemon,0.5,0.5,,Bug,
215,215,Sneasel,Sneasel,Dark,Ice,Inner Focus,Keen Eye,Pickpocket,55,95,55,35,75,115,430,61.7 lbs.,"2'11""",Sharp Claw Pokemon,0.5,0.5,,Field,
216,216,Teddiursa,Teddiursa,Normal,,Pickup,Quick Feet,Honey Gather,60,80,50,50,50,40,330,19.4 lbs.,"2'00""",Little Bear Pokemon,0.5,0.5,,Field,
217,217,Ursaring,Ursaring,Normal,,Guts,Quick Feet,Unnerve,90,130,75,75,75,55,500,277.3 lbs.,"5'11""",Hibernator Pokemon,0.5,0.5,Teddiursa,Field,
218,218,Slugma,Slugma,Fire,,Magma Armor,Flame Body,Weak Armor,40,40,40,70,40,20,250,77.2 lbs.,"2'04""",Lava Pokemon,0.5,0.5,,Amorphous,
219,219,Magcargo,Magcargo,Fire,Rock,Magma Armor,Flame Body,Weak Armor,60,50,120,90,80,30,430,121.3 lbs.,"2'07""",Lava Pokemon,0.5,0.5,Slugma,Amorphous,
220,220,Swinub,Swinub,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,50,50,40,30,30,50,250,14.3 lbs.,"1'04""",Pig Pokemon,0.5,0.5,,Field,
221,221,Piloswine,Piloswine,Ice,Ground,Oblivious,Snow Cloak,Thick Fat,100,100,80,60,60,50,450,123.0 lbs.,"3'07""",Swine Pokemon,0.5,0.5,Swinub,Field,
222,222,Corsola,Corsola,Water,Rock,Hustle,Natural Cure,Regenerator,65,55,95,65,95,35,410,11.0 lbs.,"2'00""",Coral Pokemon,0.5,0.5,,Water 1,Water 3
223,223,Remoraid,Remoraid,Water,,Hustle,Sniper,Moody,35,65,35,65,35,65,300,26.5 lbs.,"2'00""",Jet Pokemon,0.5,0.5,,Water 1,Water 2
224,224,Octillery,Octillery,Water,,Suction Cups,Sniper,Moody,75,105,75,105,75,45,480,62.8 lbs.,"2'11""",Jet Pokemon,0.5,0.5,Remoraid,Water 1,Water 2
225,225,Delibird,Delibird,Ice,Flying,Vital Spirit,Hustle,Insomnia,45,55,45,65,45,75,330,35.3 lbs.,"2'11""",Delivery Pokemon,0.5,0.5,,Water 1,Field
226,226,Mantine,Mantine,Water,Flying,Swift Swim,Water Absorb,Water Veil,85,40,70,80,140,70,485,485.0 lbs.,"6'11""",Kite Pokemon,0.5,0.5,Mantyke,Water 1,
227,227,Skarmory,Skarmory,Steel,Flying,Keen Eye,Sturdy,Weak Armor,65,80,140,40,70,70,465,111.3 lbs.,"5'07""",Armor Bird Pokemon,0.5,0.5,,Flying,
228,228,Houndour,Houndour,Dark,Fire,Early Bird,Flash Fire,Unnerve,45,60,30,80,50,65,330,23.8 lbs.,"2'00""",Dark Pokemon,0.5,0.5,,Field,
229,229,Houndoom,Houndoom,Dark,Fire,Early Bird,Flash Fire,Unnerve,75,90,50,110,80,95,500,77.2 lbs.,"4'07""",Dark Pokemon,0.5,0.5,Houndour,Field,
230,230,Kingdra,Kingdra,Water,Dragon,Swift Swim,Sniper,Damp,75,95,95,95,95,85,540,335.1 lbs.,"5'11""",Dragon Pokemon,0.5,0.5,Seadra,Water 1,Dragon
231,231,Phanpy,Phanpy,Ground,,Pickup,,Sand Veil,90,60,60,40,40,40,330,73.9 lbs.,"1'08""",Long Nose Pokemon,0.5,0.5,,Field,
232,232,Donphan,Donphan,Ground,,Sturdy,,Sand Veil,90,120,120,60,60,50,500,264.6 lbs.,"3'07""",Armor Pokemon,0.5,0.5,Phanpy,Field,
233,233,Porygon2,Porygon2,Normal,,Trace,Download,Analytic,85,80,90,105,95,60,515,71.6 lbs.,"2'00""",Virtual Pokemon,,,Porygon,Mineral,
234,234,Stantler,Stantler,Normal,,Intimidate,Frisk,Sap Sipper,73,95,62,85,65,85,465,157.0 lbs.,"4'07""",Big Horn Pokemon,0.5,0.5,,Field,
235,235,Smeargle,Smeargle,Normal,,Own Tempo,Technician,Moody,55,20,35,20,45,75,250,127.9 lbs.,"3'11""",Painter Pokemon,0.5,0.5,,Field,
236,236,Tyrogue,Tyrogue,Fighting,,Guts,Steadfast,Vital Spirit,35,35,35,35,35,35,210,46.3 lbs.,"2'04""",Scuffle Pokemon,1,0,,Undiscovered,
237,237,Hitmontop,Hitmontop,Fighting,,Intimidate,Technician,Steadfast,50,95,95,35,110,70,455,105.8 lbs.,"4'07""",Handstand Pokemon,1,0,Tyrogue,Human-Like,
238,238,Smoochum,Smoochum,Ice,Psychic,Oblivious,Forewarn,Hydration,45,30,15,85,65,65,305,13.2 lbs.,"1'04""",Kiss Pokemon,0,1,,Undiscovered,
239,239,Elekid,Elekid,Electric,,Static,,Vital Spirit,45,63,37,65,55,95,360,51.8 lbs.,"2'00""",Electric Pokemon,0.75,0.25,,Undiscovered,
240,240,Magby,Magby,Fire,,Flame Body,,Vital Spirit,45,75,37,70,55,83,365,47.2 lbs.,"2'04""",Live Coal Pokemon,0.75,0.25,,Undiscovered,
241,241,Miltank,Miltank,Normal,,Thick Fat,Scrappy,Sap Sipper,95,80,105,40,70,100,490,166.4 lbs.,"3'11""",Milk Cow Pokemon,0,1,,Field,
242,242,Blissey,Blissey,Normal,,Natural Cure,Serene Grace,Healer,255,10,10,75,135,55,540,103.2 lbs.,"4'11""",Happiness Pokemon,0,1,Chansey,Fairy,
243,243,Raikou,Raikou,Electric,,Pressure,,Inner Focus,90,85,75,115,100,115,580,392.4 lbs.,"6'03""",Thunder Pokemon,,,,Undiscovered,
244,244,Entei,Entei,Fire,,Pressure,,Inner Focus,115,115,85,90,75,100,580,436.5 lbs.,"6'11""",Volcano Pokemon,,,,Undiscovered,
245,245,Suicune,Suicune,Water,,Pressure,,Inner Focus,100,75,115,90,115,85,580,412.3 lbs.,"6'07""",Aurora Pokemon,,,,Undiscovered,
246,246,Larvitar,Larvitar,Rock,Ground,Guts,,Sand Veil,50,64,50,45,50,41,300,158.7 lbs.,"2'00""",Rock Skin Pokemon,0.5,0.5,,Monster,
247,247,Pupitar,Pupitar,Rock,Ground,Shed Skin,,,70,84,70,65,70,51,410,335.1 lbs.,"3'11""",Hard Shell Pokemon,0.5,0.5,Larvitar,Monster,
248,248,Tyranitar,Tyranitar,Rock,Dark,Sand Stream,,Unnerve,100,134,110,95,100,61,600,445.3 lbs.,"6'07""",Armor Pokemon,0.5,0.5,Pupitar,Monster,
249,249,Lugia,Lugia,Psychic,Flying,Pressure,,Multiscale,106,90,130,90,154,110,680,476.2 lbs.,"17'01""",Diving Pokemon,,,,Undiscovered,
250,250,Ho-Oh,Ho-Oh,Fire,Flying,Pressure,,Regenerator,106,130,90,110,154,90,680,438.7 lbs.,"12'06""",Rainbow Pokemon,,,,Undiscovered,
251,251,Celebi,Celebi,Psychic,Grass,Natural Cure,,,100,100,100,100,100,100,600,11.0 lbs.,"2'00""",Time Travel Pokemon,,,,Undiscovered,
252,252,Treecko,Treecko,Grass,,Overgrow,,Unburden,40,45,35,65,55,70,310,11.0 lbs.,"1'08""",Wood Gecko Pokemon,0.875,0.125,,Monster,Dragon
253,253,Grovyle,Grovyle,Grass,,Overgrow,,Unburden,50,65,45,85,65,95,405,47.6 lbs.,"2'11""",Wood Gecko Pokemon,0.875,0.125,Treecko,Monster,Dragon
254,254,Sceptile,Sceptile,Grass,,Overgrow,,Unburden,70,85,65,105,85,120,530,115.1 lbs.,"5'07""",Forest Pokemon,0.875,0.125,Grovyle,Monster,Dragon
255,255,Torchic,Torchic,Fire,,Blaze,,Speed Boost,45,60,40,70,50,45,310,5.5 lbs.,"1'04""",Chick Pokemon,0.875,0.125,,Field,
256,256,Combusken,Combusken,Fire,Fighting,Blaze,,Speed Boost,60,85,60,85,60,55,405,43.0 lbs.,"2'11""",Young Fowl Pokemon,0.875,0.125,Torchic,Field,
257,257,Blaziken,Blaziken,Fire,Fighting,Blaze,,Speed Boost,80,120,70,110,70,80,530,114.6 lbs.,"6'03""",Blaze Pokemon,0.875,0.125,Combusken,Field,
258,258,Mudkip,Mudkip,Water,,Torrent,,Damp,50,70,50,50,50,40,310,16.8 lbs.,"1'04""",Mud Fish Pokemon,0.875,0.125,,Monster,Water 1
259,259,Marshtomp,Marshtomp,Water,Ground,Torrent,,Damp,70,85,70,60,70,50,405,61.7 lbs.,"2'04""",Mud Fish Pokemon,0.875,0.125,Mudkip,Monster,Water 1
260,260,Swampert,Swampert,Water,Ground,Torrent,,Damp,100,110,90,85,90,60,535,180.6 lbs.,"4'11""",Mud Fish Pokemon,0.875,0.125,Marshtomp,Monster,Water 1
261,261,Poochyena,Poochyena,Dark,,Run Away,Quick Feet,Rattled,35,55,35,30,30,35,220,30.0 lbs.,"1'08""",Bite Pokemon,0.5,0.5,,Field,
262,262,Mightyena,Mightyena,Dark,,Intimidate,Quick Feet,Moxie,70,90,70,60,60,70,420,81.6 lbs.,"3'03""",Bite Pokemon,0.5,0.5,Poochyena,Field,
263,263,Zigzagoon,Zigzagoon,Normal,,Pickup,Gluttony,Quick Feet,38,30,41,30,41,60,240,38.6 lbs.,"1'04""",Tiny Raccoon Pokemon,0.5,0.5,,Field,
264,264,Linoone,Linoone,Normal,,Pickup,Gluttony,Quick Feet,78,70,61,50,61,100,420,71.6 lbs.,"1'08""",Rushing Pokemon,0.5,0.5,Zigzagoon,Field,
265,265,Wurmple,Wurmple,Bug,,Shield Dust,,Run Away,45,45,35,20,30,20,195,7.9 lbs.,"1'00""",Worm Pokemon,0.5,0.5,,Bug,
266,266,Silcoon,Silcoon,Bug,,Shed Skin,,,50,35,55,25,25,15,205,22.0 lbs.,"2'00""",Cocoon Pokemon,0.5,0.5,Wurmple,Bug,
267,267,Beautifly,Beautifly,Bug,Flying,Swarm,,Rivalry,60,70,50,100,50,65,395,62.6 lbs.,"3'03""",Butterfly Pokemon,0.5,0.5,Silcoon,Bug,
268,268,Cascoon,Cascoon,Bug,,Shed Skin,,,50,35,55,25,25,15,205,25.4 lbs.,"2'04""",Cocoon Pokemon,0.5,0.5,Wumple,Bug,
269,269,Dustox,Dustox,Bug,Poison,Shield Dust,,Compound Eyes,60,50,70,50,90,65,385,69.7 lbs.,"3'11""",Poison Moth Pokemon,0.5,0.5,Cascoon,Bug,
270,270,Lotad,Lotad,Water,Grass,Swift Swim,Rain Dish,Own Tempo,40,30,30,40,50,30,220,5.7 lbs.,"1'08""",Water Weed Pokemon,0.5,0.5,,Water 1,Grass
271,271,Lombre,Lombre,Water,Grass,Swift Swim,Rain Dish,Own Tempo,60,50,50,60,70,50,340,71.6 lbs.,"3'11""",Jolly Pokemon,0.5,0.5,Lotad,Water 1,Grass
272,272,Ludicolo,Ludicolo,Water,Grass,Swift Swim,Rain Dish,Own Tempo,80,70,70,90,100,70,480,121.3 lbs.,"4'11""",Carefree Pokemon,0.5,0.5,Lombre,Water 1,Grass
273,273,Seedot,Seedot,Grass,,Chlorophyll,Early Bird,Pickpocket,40,40,50,30,30,30,220,8.8 lbs.,"1'08""",Acorn Pokemon,0.5,0.5,,Field,Grass
274,274,Nuzleaf,Nuzleaf,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,70,70,40,60,40,60,340,61.7 lbs.,"3'03""",Wily Pokemon,0.5,0.5,Seedot,Field,Grass
275,275,Shiftry,Shiftry,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,90,100,60,90,60,80,480,131.4 lbs.,"4'03""",Wicked Pokemon,0.5,0.5,Nuzleaf,Field,Grass
276,276,Taillow,Taillow,Normal,Flying,Guts,,Scrappy,40,55,30,30,30,85,270,5.1 lbs.,"1'00""",Tiny Swallow Pokemon,0.5,0.5,,Flying,
277,277,Swellow,Swellow,Normal,Flying,Guts,,Scrappy,60,85,60,75,50,125,455,43.7 lbs.,"2'04""",Swallow Pokemon,0.5,0.5,Taillow,Flying,
278,278,Wingull,Wingull,Water,Flying,Keen Eye,Hydration,Rain Dish,40,30,30,55,30,85,270,20.9 lbs.,"2'00""",Seagull Pokemon,0.5,0.5,,Water 1,Flying
279,279,Pelipper,Pelipper,Water,Flying,Keen Eye,Drizzle,Rain Dish,60,50,100,95,70,65,440,61.7 lbs.,"3'11""",Water Bird Pokemon,0.5,0.5,Wingull,Water 1,Flying
280,280,Ralts,Ralts,Psychic,Fairy,Synchronize,Trace,Telepathy,28,25,25,45,35,40,198,14.6 lbs.,"1'04""",Feeling Pokemon,0.5,0.5,,Amorphous,
281,281,Kirlia,Kirlia,Psychic,Fairy,Synchronize,Trace,Telepathy,38,35,35,65,55,50,278,44.5 lbs.,"2'07""",Emotion Pokemon,0.5,0.5,Ralts,Amorphous,
282,282,Gardevoir,Gardevoir,Psychic,Fairy,Synchronize,Trace,Telepathy,68,65,65,125,115,80,518,106.7 lbs.,"5'03""",Embrace Pokemon,0.5,0.5,Kirlia,Amorphous,
283,283,Surskit,Surskit,Bug,Water,Swift Swim,,Rain Dish,40,30,32,50,52,65,269,3.7 lbs.,"1'08""",Pond Skater Pokemon,0.5,0.5,,Water 1,Bug
284,284,Masquerain,Masquerain,Bug,Flying,Intimidate,,Unnerve,70,60,62,100,82,80,454,7.9 lbs.,"2'07""",Eyeball Pokemon,0.5,0.5,Surskit,Water 1,Bug
285,285,Shroomish,Shroomish,Grass,,Effect Spore,Poison Heal,Quick Feet,60,40,60,40,60,35,295,9.9 lbs.,"1'04""",Mushroom Pokemon,0.5,0.5,,Fairy,Grass
286,286,Breloom,Breloom,Grass,Fighting,Effect Spore,Poison Heal,Technician,60,130,80,60,60,70,460,86.4 lbs.,"3'11""",Mushroom Pokemon,0.5,0.5,Shroomish,Fairy,Grass
287,287,Slakoth,Slakoth,Normal,,Truant,,,60,60,60,35,35,30,280,52.9 lbs.,"2'07""",Slacker Pokemon,0.5,0.5,,Field,
288,288,Vigoroth,Vigoroth,Normal,,Vital Spirit,,,80,80,80,55,55,90,440,102.5 lbs.,"4'07""",Wild Monkey Pokemon,0.5,0.5,Slakoth,Field,
289,289,Slaking,Slaking,Normal,,Truant,,,150,160,100,95,65,100,670,287.7 lbs.,"6'07""",Lazy Pokemon,0.5,0.5,Vigoroth,Field,
290,290,Nincada,Nincada,Bug,Ground,Compound Eyes,,Run Away,31,45,90,30,30,40,266,12.1 lbs.,"1'08""",Trainee Pokemon,0.5,0.5,,Bug,
291,291,Ninjask,Ninjask,Bug,Flying,Speed Boost,,Infiltrator,61,90,45,50,50,160,456,26.5 lbs.,"2'07""",Ninja Pokemon,0.5,0.5,Nincada,Bug,
